#timestamp tx ty tz qx qy qz qw
1723644391.171898127 0.010785557 -0.005119790 -0.002813695 0.013568906 0.028379468 -0.013710254 0.999411106
1723644391.205314159 0.010845097 -0.007517701 -0.001470841 0.016226048 0.027640689 -0.013478972 0.999395370
1723644391.472651005 0.009289064 -0.013717150 -0.004310334 0.018412862 0.022730365 -0.012113925 0.999498665
1723644391.706586838 0.014041624 -0.044755511 -0.018595811 0.011843712 0.033166971 -0.015036371 0.999266505
1723644391.806849957 0.020227423 -0.060452666 -0.017652890 0.010431264 0.040568054 -0.022113709 0.998877585
1723644392.106980562 0.033540580 -0.114087321 -0.017491279 0.008888815 0.041841026 -0.020857718 0.998867035
1723644392.273607492 0.029588442 -0.148144349 -0.028938591 0.015451377 0.043790076 -0.014030620 0.998822749
1723644392.373580456 0.027950101 -0.172274306 -0.030104296 0.011978650 0.046867240 -0.010996485 0.998768806
1723644392.506874323 0.037404034 -0.209633380 -0.028739605 0.006759235 0.051362615 -0.003173151 0.998652220
1723644392.640163898 0.043293141 -0.244229704 -0.025465945 0.007636511 0.059699047 0.003598352 0.998180747
1723644392.673485518 0.049786769 -0.250488043 -0.025656177 0.009667581 0.060801871 0.003858905 0.998095572
1723644392.806770086 0.046899226 -0.293537378 -0.038709339 0.007675009 0.065147340 0.011688828 0.997777700
1723644392.973618031 0.060020648 -0.329826981 -0.046027936 0.001530564 0.061900903 0.010328854 0.998027682
1723644393.140632391 0.071962252 -0.356663108 -0.058598984 -0.007588572 0.056836501 -0.001206367 0.998353958
1723644393.307652235 0.082633704 -0.384264022 -0.060964860 -0.006273531 0.065048479 0.001130722 0.997861743
1723644393.374461889 0.088405944 -0.399802625 -0.068289965 -0.007546867 0.065728620 0.003075084 0.997804284
1723644393.474677801 0.099552415 -0.416666895 -0.073893353 -0.008693845 0.064244151 -0.001239851 0.997895598
1723644393.675115108 0.114964828 -0.453048140 -0.090342522 -0.013661720 0.063303165 -0.000648416 0.997900665
1723644393.775336742 0.128780261 -0.455111086 -0.097600244 -0.003862150 0.062739566 -0.008275032 0.997988164
1723644393.875559092 0.136509851 -0.476747781 -0.118056916 -0.004756421 0.064216495 -0.011238787 0.997861385
1723644394.108796358 0.157671332 -0.496945500 -0.160608456 -0.016116420 0.052807324 -0.015544963 0.998353660
1723644394.242067814 0.175769731 -0.484453499 -0.182402998 -0.016055213 0.051471528 -0.019371837 0.998357475
1723644394.641850948 0.208949536 -0.498427838 -0.268030852 -0.014037287 0.050936237 -0.032510877 0.998073936
1723644394.875037193 0.224471405 -0.530727863 -0.330347627 -0.022706179 0.038444001 -0.032502461 0.998473883
1723644395.141590357 0.257736713 -0.532375515 -0.363759935 -0.028007474 0.008293848 -0.031833645 0.999066293
1723644395.308175325 0.281153828 -0.530580759 -0.368554324 -0.014952327 -0.005460404 -0.035234604 0.999252319
1723644395.508066654 0.310273528 -0.542724609 -0.387784034 -0.011338729 -0.017312761 -0.037726682 0.999073803
1723644395.608007908 0.325505733 -0.537935674 -0.397854090 -0.021294722 -0.030773699 -0.042134698 0.998410881
1723644395.707946062 0.344971597 -0.524113536 -0.396742105 -0.025872244 -0.035900924 -0.052205145 0.997655451
1723644395.807881355 0.356780142 -0.521598577 -0.400997698 -0.028859721 -0.036796514 -0.061616275 0.997003794
1723644395.941378355 0.361399680 -0.529401541 -0.414523989 -0.036236469 -0.045851070 -0.058736179 0.996561468
1723644396.242346287 0.370160043 -0.519245088 -0.434073180 -0.024154805 -0.036425345 -0.055678975 0.997491658
1723644396.409575224 0.379186541 -0.516647696 -0.463100880 -0.013057661 -0.019732136 -0.051578254 0.998388648
1723644396.677177906 0.358977973 -0.520796299 -0.540329099 -0.014198289 0.015817998 -0.033634741 0.999208152
1723644397.778619289 0.391437560 -0.540919900 -0.733279943 -0.033916626 0.025280498 -0.024258791 0.998810351
1723644401.114218712 0.323977172 -0.519932508 -0.654865742 -0.047157880 0.101584718 -0.013954309 0.993610561
1723644401.780446768 0.288084567 -0.511441588 -0.567035794 -0.042408690 0.134577453 -0.018065443 0.989830315
1723644402.214488268 0.243899763 -0.498806715 -0.577778697 -0.050360262 0.190138876 -0.006164206 0.980445385
1723644403.516692400 0.114018649 -0.508499384 -0.673469901 -0.047352355 0.291664571 0.002002236 0.955345750
1723644403.949705124 0.110403389 -0.508249342 -0.681631386 -0.058661997 0.315956473 0.005648793 0.946941614
1723644406.114994287 0.189068675 -0.506892622 -0.706292629 -0.072845280 0.343146682 -0.006670878 0.936429083
