#timestamp tx ty tz qx qy qz qw
1729604386.403842211 0.443254948 -0.665277064 1.852748156 -0.074571446 -0.675332248 -0.105340861 0.726132810
1729604386.671005011 0.385900259 -0.673512220 1.890181303 -0.054999478 -0.694731772 -0.113769494 0.708081424
1729604386.938265800 0.339958429 -0.666310787 1.933899760 -0.057674088 -0.716912389 -0.127279967 0.683015466
1729604387.439419746 0.273772955 -0.658345997 1.980512857 -0.071847513 -0.736064792 -0.177134678 0.649361134
1729604388.438916922 0.197662830 -0.636931121 1.916871786 -0.084406309 -0.737894595 -0.180315986 0.644882381
1729604389.339796543 0.109114647 -0.614961147 1.939792871 -0.119052336 -0.731706500 -0.178169578 0.647060871
1729604389.773180485 0.049049616 -0.622461915 2.006765842 -0.102215156 -0.751555622 -0.190869316 0.623125315
1729604390.206401110 -0.006041050 -0.605476737 2.060542345 -0.116875678 -0.761678159 -0.207212880 0.602701664
1729604390.573136330 -0.044998646 -0.606271625 2.084664106 -0.120907664 -0.768736541 -0.189862788 0.598646581
1729604391.006974697 -0.067531109 -0.613756716 2.072944880 -0.097233385 -0.774599731 -0.179652229 0.598553240
1729604391.273976088 -0.065434694 -0.624446034 2.043786526 -0.077337019 -0.785760045 -0.169715390 0.589743018
1729604392.008935213 -0.093755245 -0.646692634 2.033399582 -0.068657897 -0.800822377 -0.119943850 0.582737625
1729604392.276295185 -0.142993450 -0.658972025 2.051726103 -0.056954619 -0.816329479 -0.100525580 0.565912545
1729604392.543501377 -0.209373713 -0.673997104 2.076950550 -0.027553909 -0.838952005 -0.089187101 0.536139905
1729604392.777070999 -0.246317148 -0.678072631 2.096680880 -0.008675994 -0.859326005 -0.082348421 0.504680395
1729604393.110761881 -0.289694548 -0.670329750 2.123197317 -0.004392176 -0.883342445 -0.079884745 0.461849928
1729604393.377731800 -0.297170162 -0.670715988 2.135242224 -0.012526519 -0.900146723 -0.078819163 0.428213209
1729604393.644912243 -0.292776346 -0.656882823 2.136788607 -0.022092290 -0.919188857 -0.076815106 0.385620624
1729604394.045913935 -0.291873217 -0.667753637 2.140446186 -0.013046956 -0.927059412 -0.081667416 0.365678906
1729604394.346694231 -0.301237106 -0.662147105 2.129868984 -0.014813778 -0.935620785 -0.084595472 0.342400223
1729604394.580361366 -0.307943821 -0.663859785 2.119956970 -0.005821686 -0.938122690 -0.086979315 0.335151434
1729604394.813639164 -0.332384825 -0.655650139 2.094608068 -0.009574692 -0.946048915 -0.091746323 0.310616314
1729604395.080226421 -0.383746386 -0.649698138 2.045320511 -0.013658077 -0.952263713 -0.101198420 0.287691146
1729604395.346796274 -0.411927938 -0.645400286 2.004882097 -0.008501042 -0.958801150 -0.092194468 0.268567115
1729604395.546883345 -0.431462288 -0.641436279 1.982170582 -0.014302595 -0.963219166 -0.086816132 0.253903896
1729604395.947744846 -0.445266485 -0.646016061 1.967692137 -0.008674622 -0.970576108 -0.078598127 0.227440536
1729604396.148187876 -0.454921007 -0.647427082 1.972551942 -0.003399921 -0.976463437 -0.075703107 0.201932445
1729604396.482276201 -0.493582726 -0.643113256 2.006013870 -0.002621897 -0.984537661 -0.082200848 0.154666483
1729604396.848779202 -0.539268255 -0.640743673 2.049002171 0.005291171 -0.989673138 -0.092802368 0.109118447
1729604397.148616076 -0.551015973 -0.631466329 2.074486494 0.015554403 -0.990570426 -0.118453667 0.067060135
1729604397.515057802 -0.548908114 -0.639469624 2.065977335 0.010003834 -0.993589282 -0.107915610 0.032163557
1729604397.948189735 -0.525650144 -0.649542332 2.033903122 0.000250333 -0.995187938 -0.088533282 0.041985590
1729604398.647796392 -0.514710784 -0.645856500 2.015496492 0.002723117 -0.996979117 -0.077556871 0.003189644
1729604398.847701788 -0.524844229 -0.630921125 2.022174120 -0.004547947 0.996145070 0.079466671 0.036871254
