#timestamp tx ty tz qx qy qz qw
1724939720.575060368 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
1724939726.752831936 0.006930232 -0.050562527 0.019236013 0.007667105 -0.014648946 0.000335095 0.999863267
1724939726.786257267 0.004128408 -0.062166762 0.017795304 0.008642287 -0.014191306 -0.000348844 0.999861896
1724939726.853108644 -0.008682454 -0.088361599 0.016743986 0.009608123 -0.016525084 -0.000753480 0.999817014
1724939726.986815929 0.018619491 -0.141964257 0.021439495 0.010394202 -0.026972681 -0.003739791 0.999575138
1724939727.153958321 0.030165557 -0.206299424 0.018785438 0.016107969 -0.021527778 -0.000746991 0.999638259
1724939727.220721245 0.035380229 -0.245504677 0.011409881 0.021631006 -0.020407639 0.004167210 0.999549091
1724939727.287390471 0.033640854 -0.269141048 0.009806091 0.030964421 -0.020183900 0.006323803 0.999296665
1724939727.420726538 0.041297920 -0.333992183 -0.007490017 0.042863995 -0.025839891 0.003595260 0.998740256
1724939727.487393618 0.047818482 -0.361142904 -0.018711887 0.043134559 -0.031228902 -0.001290004 0.998580277
1724939727.620724916 0.059489604 -0.413037628 -0.041410070 0.033609584 -0.036736201 -0.002812748 0.998755693
1724939727.754052877 0.083065554 -0.456779927 -0.057227414 0.024648849 -0.052060209 0.012363885 0.998263121
1724939727.887377977 0.100348175 -0.510668576 -0.088075116 0.013921997 -0.061941743 0.017592061 0.997827649
1724939727.954039335 0.101302892 -0.532898843 -0.101827323 0.004432597 -0.074610166 0.012802945 0.997120738
1724939728.020699978 0.118116997 -0.547823310 -0.116547845 -0.004689390 -0.093741916 0.006633471 0.995563388
1724939728.087359667 0.144927338 -0.539415240 -0.107611872 -0.004864388 -0.106729582 -0.001364134 0.994275272
1724939728.154018641 0.178424776 -0.543204486 -0.097659774 0.000781547 -0.108258009 -0.007510629 0.994094133
1724939728.220718145 0.193335235 -0.551934838 -0.111117534 0.009503141 -0.097020976 -0.011156643 0.995174468
1724939728.287544250 0.201138824 -0.557594121 -0.123174816 0.013807666 -0.089794062 -0.012403532 0.995787382
1724939728.488028526 0.231315851 -0.572528899 -0.136201739 0.014367817 -0.110420957 -0.016234549 0.993648469
1724939728.554859638 0.237207785 -0.580785155 -0.142812818 0.021182751 -0.107068434 -0.020652967 0.993811429
